Experiment,Architecture,Pretrained,Augmentation,Top-1 (%),Top-5 (%),Macro Precision (%),Macro Recall (%),Macro F1 (%),Best Val Macro F1 (%),Training Time (min),Inference Time (s),Images/s,Parameters (M),Epochs
E1,resnet18,False,basic,32.08,56.32,34.21706276816286,32.080000000000005,31.616720117044643,31.538263281082585,60.478076456766665,28.514907830000084,175.34687573983948,11.433012,25
E2,resnet18,True,basic,57.720000000000006,80.38,62.33874769529139,57.720000000000006,57.17380572592642,57.05036499412823,26.55951132533334,24.279186149999987,205.93771014849287,11.433012,12
E3,resnet18,True,strong,56.36,79.74,61.32058640302602,56.359999999999985,55.415952516523525,54.58553619341495,43.69180999608333,25.2023353149998,198.39431296766077,11.433012,12
E4,efficientnet_b0,True,strong,72.16,89.86,74.38267907960633,72.16,71.77035753339935,70.85023502568357,46.95470039883333,29.035678951999216,172.20193157066615,4.648048,12
