epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.001,6.082921796417236,0.0088,0.004897234909092956,5.9056679672241215,0.0174,0.004516719433595714,146.58125851599993
2,0.001,5.715413814544678,0.0169,0.010642894986368312,5.603385160827637,0.0206,0.007301190194396698,141.21792748200005
3,0.001,5.473985605621338,0.0319,0.02309155698262834,5.4376496353149415,0.0372,0.019787134138526688,143.25652305200003
4,0.001,5.257849638366699,0.0527,0.039952104290833526,5.271829562377929,0.0544,0.03346746831401067,141.32119806999992
5,0.001,5.0328043258666995,0.07645,0.060835618991012266,5.073939342880249,0.0726,0.04746514881027652,142.62286981399996
6,0.001,4.793176634979248,0.10715,0.08864573487587729,4.954459755706787,0.098,0.07674004002307158,143.59174693499995
7,0.001,4.552407944488525,0.1417,0.12269049293014112,4.711982495880127,0.1326,0.10931742734489253,152.89323160499998
8,0.001,4.3395445434570314,0.17985,0.16041004330268632,4.597665300369263,0.1542,0.12868432003101982,141.4718935830001
9,0.001,4.141715277862549,0.2162,0.1976772304668316,4.4449943775177,0.1798,0.15966474419835283,142.38157157599994
10,0.001,3.9533227508544924,0.2503,0.23182907291974433,4.415660206985474,0.1892,0.17144913692171837,147.89874106700017
11,0.001,3.7916372512817382,0.27985,0.26257888521446293,4.3011483993530275,0.2098,0.1930026837352096,146.62853799200002
12,0.001,3.612492421722412,0.3239,0.3087982669314088,4.273545925903321,0.221,0.1982769692667821,144.18109536999987
13,0.001,3.452354789733887,0.3581,0.3440991215473906,4.2120065467834475,0.2328,0.21820754555424487,145.6164343810001
14,0.001,3.2954787979125975,0.3921,0.3800488613114199,4.175444448852539,0.249,0.23059512154761522,144.11963912200008
15,0.001,3.1336434112548828,0.43675,0.4260336321286725,4.202636135101319,0.249,0.2435479945709831,142.5792354940004
16,0.001,2.973876276779175,0.4762,0.46788932562370794,4.138626258087158,0.2568,0.25024300740187855,144.40484109199997
17,0.001,2.8123812664031984,0.52015,0.5121166925168662,4.138257867050171,0.2622,0.25098416573290094,144.95295435100024
18,0.001,2.66472218170166,0.564,0.5574896213074146,4.125657246017456,0.2702,0.2629802468257653,147.80048049900006
19,0.001,2.522293398284912,0.6018,0.5971298389410559,4.128753072357178,0.2784,0.27096436236742594,146.72562938400006
20,0.001,2.36790146522522,0.6525,0.6486761125304021,4.15030020980835,0.2668,0.26346920186584727,145.85713930300017
21,0.0003,2.2091411727905275,0.7071,0.7049643046905166,4.167687543487549,0.2812,0.275587436040288,143.05689000600023
22,0.0003,1.8225209438323975,0.8517,0.8508750896778114,3.9441929399490356,0.3172,0.3131838653763487,147.13842331500018
23,0.0003,1.7103667095184327,0.89305,0.8926513056888992,3.965876577949524,0.3174,0.31538263281082585,148.3879683
24,0.0003,1.6480580745697022,0.91345,0.9131058606215785,3.966268204689026,0.3156,0.3124260924954068,145.22920107500022
25,8.999999999999999e-05,1.6026620304107666,0.9278,0.9275792331807852,3.9872040102005006,0.3126,0.3073875471666537,136.57827262
